year,status,description
2014,Candidate,buffer overflow in client/mysql.cc in oracle mysql and mariadb before 5.5.35 allows remote database servers to cause a denial of service (crash) and possibly execute arbitrary code via a long server version string.
2014,Candidate,"the xslt component in apache camel before 2.11.4 and 2.12.x before 2.12.3 allows remote attackers to read arbitrary files and possibly have other unspecified impact via an xml document containing an external entity declaration in conjunction with an entity reference, related to an xml external entity (xxe) issue."
2014,Candidate,"the xslt component in apache camel 2.11.x before 2.11.4, 2.12.x before 2.12.3, and possibly earlier versions allows remote attackers to execute arbitrary java methods via a crafted message."
2014,Candidate,stack-based buffer overflow in udisks before 1.0.5 and 2.x before 2.1.3 allows local users to cause a denial of service (crash) and possibly execute arbitrary code via a long mount point.
2014,Candidate,"picketbox and jbosssx, as used in red hat jboss enterprise application platform (jbeap) 6.2.2 and jboss brms before 6.0.3 roll up patch 2, allows remote authenticated users to read and modify the application sever configuration and state by deploying a crafted application."
2014,Candidate,"the tempurl middleware in openstack object storage (swift) 1.4.6 through 1.8.0, 1.9.0 through 1.10.0, and 1.11.0 allows remote attackers to obtain secret urls by leveraging an object name and a timing side-channel attack."
2014,Candidate,the smart-proxy in foreman before 1.4.5 and 1.5.x before 1.5.1 allows remote attackers to execute arbitrary commands via shell metacharacters in the path parameter to tftp/fetch_boot_file.
2014,Candidate,"lib/adminlib.php in moodle through 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 logs cleartext passwords, which allows remote authenticated administrators to obtain sensitive information by reading the config changes report."
2014,Candidate,"course/loginas.php in moodle through 2.2.11, 2.3.x before 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 does not enforce the moodle/site:accessallgroups capability requirement for outside-group users in a separategroups configuration, which allows remote authenticated users to perform ""login as"" actions via a direct request."
2014,Candidate,"multiple cross-site request forgery (csrf) vulnerabilities in user/profile/index.php in moodle through 2.2.11, 2.3.x before 2.3.11, 2.4.x before 2.4.8, 2.5.x before 2.5.4, and 2.6.x before 2.6.1 allow remote attackers to hijack the authentication of administrators for requests that delete (1) categories or (2) fields."
